Simple_Different Same Acinetobacter lwoffii has evolved in the lab to be resistant to ciprofloxacin. {darby-et-al-2024-differential-development-of-antibiotic-resistance-and-virulence-between-acinetobacter-species.pdf}	ciproflaxin

Simple_Same Same Active olfactory receptor genes increase their contacts with Greek island regions by a factor of 2.7-fold in mouse olfactory neurons. s41586-023-06845-4.pdf	2.7 fold

Simple_Different Same There are approximately 12,309 unique transposable element insertion loci in the mandarin (Citrus reticulata) genome. {2022.03.19.484946v3.full.pdf}	12300

Simple_Same Same Approximately 80% of Drosophila with a H3.3K36R mutation finish developing and eclose. {2024.05.03.592390v1.full.pdf}	80%

Simple_Different Similar In human cells, enhancer and promoter sequences are broadly compatible, as enhancers can activate many different promoter sequences similarly, leading to a multiplicative effect on RNA output. This compatibility is supported by studies showing that nearly all active enhancers can activate all promoter sequences by similar amounts. However, in Drosophila, the situation is different; while both housekeeping and developmentally regulated gene promoters can be responsive, they respond to distinct sets of enhancer sequences and cofactors. This indicates that the compatibility model for enhancers and promoters in humans does not directly apply to Drosophila, where there are greater preferences for different classes of enhancers based on the type of promoter. s41586-022-04877-w.pdf	yes, no

Simple_Different Different No information. 	evening

Simple_Same Same Based on single-nuclei RNA sequencing data, myotendinous junction myonuclei are enriched for genes involved in cell–matrix interactions, specifically including genes such as COL22A1 and ADGBR4. {s41586-024-07348-6.pdf}	cell–matrix interactions

Simple_Same Same The percentage of AR-negative status in male breast cancer (MBC) patients, when evaluated by IHR, is 5.3%. s41467-023-41318-2.pdf	5.3%

Simple_Same Same The beta-amyrin synthase from Saponaria vaccaria (SvBAS) produces the highest yield of beta-amyrin from squalene. s41586-024-07345-9.pdf	Saponaria vaccaria

