Simple_Different Same Acinetobacter lwoffii has evolved in the lab to be resistant to ciprofloxacin. darby-et-al-2024-differential-development-of-antibiotic-resistance-and-virulence-between-acinetobacter-species.pdf	ciproflaxin

Simple_Same Same Active olfactory receptor genes increase their contacts with Greek island regions by a factor of 2.7-fold in mouse olfactory neurons. s41586-023-06845-4.pdf	2.7 fold

Simple_Different Same There are approximately 12,309 unique transposable element insertion loci in the mandarin (Citrus reticulata) genome. 2022.03.19.484946v3.full.pdf	12300

Simple_Same Same Approximately 80% of Drosophila with a H3.3K36R mutation finish developing and eclose. 2024.05.03.592390v1.full.pdf	80%

Simple_Different Similar Enhancer and promoter sequences are broadly compatible in human cells, as enhancers can work with many RNA polymerase II promoter sequences to enhance RNA output. This compatibility is supported by observations that suggest enhancers influence gene expression through a combination of promoter activity, enhancer activity, and 3D interactions, with enhancer-promoter class compatibilities being a smaller factor. However, this model differs from Drosophila, where the responsiveness of promoters to enhancers varies significantly, with distinct sets of enhancer sequences and cofactors being involved for different types of genes. s41586-022-04877-w.pdf	yes, no

Simple_Same Same The number of tumor-infiltrating leukocytes (TILs) is highest in the evening, specifically at ZT13. 1-s2.0-S0092867424004100-main.pdf	evening

Simple_Same Same Based on single-nuclei RNA sequencing data, myotendinous junction myonuclei are enriched for genes involved in cell–matrix interactions, specifically including COL22A1 and ADGBR4. s41586-024-07348-6.pdf	cell–matrix interactions

Simple_Different Different No information. s41467-023-41318-2.pdf	5.3%

Simple_Different Same The beta-amyrin synthase from S. vaccaria (SvBAS) produces the highest yield of beta-amyrin from squalene. s41586-024-07345-9.pdf	Saponaria vaccaria

Simple_Same Same Yes, metabolic glycan labeling does immobilize dendritic cell membranes and enhances the antitumor efficacy of dendritic cell vaccines. It reduces the membrane mobility of dendritic cells (DCs), activates them, and improves their antigen presentation and T cell priming capabilities. s41467-023-40886-7.pdf	Yes

