Simple_Different Same Acinetobacter lwoffii has evolved resistance to ciprofloxacin in laboratory conditions. {darby-et-al-2024-differential-development-of-antibiotic-resistance-and-virulence-between-acinetobacter-species.pdf}	ciproflaxin

Simple_Same Same The active olfactory receptor gene significantly increases its contacts to Greek islands by a factor of 2.7-fold in mouse olfactory neurons. s41586-023-06845-4.pdf	2.7 fold

Simple_Different Same There are approximately 12,309 unique transposable element insertion loci in the mandarin (Citrus reticulata) genome. {2022.03.19.484946v3.full.pdf}	12300

Simple_Same Same Approximately 80% of Drosophila with a H3.3K36R mutation complete development and eclose. {2024.05.03.592390v1.full.pdf}	80%

Simple_Different Similar Yes, enhancer and promoter sequences are broadly compatible in human cells, allowing enhancers to activate a wide range of promoters. In contrast, Drosophila exhibits more selective interactions between enhancers and promoters, with significant preferences for different classes of genomic enhancers based on the type of gene being regulated. s41586-022-04877-w.pdf	yes, no

Simple_Different Different No information. 	evening

Simple_Same Same Myotendinous junction myonuclei are enriched for genes associated with cell–matrix interactions, specifically including genes such as COL22A1 and ADGBR4. [4] s41586-024-07348-6.pdf	cell–matrix interactions

Simple_Different Different No information. 	5.3%

Simple_Same Same The β-amyrin synthase (BAS) homologue from Saponaria vaccaria yields the highest titre of β-amyrin (899.0 mg l−1) from squalene compared to other plant sources. s41586-024-07345-9.pdf	Saponaria vaccaria

Simple_Same Same Yes, metabolic glycan labeling reduces the mobility of dendritic cell (DC) membranes, activates DCs, and improves their antigen presentation and T cell priming properties, thereby enhancing the antitumor efficacy of DC vaccines. s41467-023-40886-7.pdf	Yes

Simple_Same Same Targeting sgRNAs to coding strands in gene bodies leads to higher effect sizes on average across multiple CRISPRi screens, with the average effect sizes of sgRNAs targeting coding strands being more than twofold higher than those targeting the template strands. {s41592-024-02216-7.pdf}	coding strand

